company,year,per,pbr,psr,profit
유한양행,2003,9.52,0.86,1.29,0.045725185
대우건설,2003,12.38,0.72,0.32,-0.125170439
두산,2003,22.45,0.38,0.05,0.844993441
제일기획,2003,17.98,1.8,1.23,0.096119745
포스코대우,2003,12.43,0.64,0.08,-0.241370224
금호석유,2003,,0.14,0.01,0.083333333
농심,2003,15.61,1.13,0.56,-0.342170095
현대백화점,2003,14.55,0.83,0.26,-0.035546537
영풍,2003,3.26,0.15,0.13,0.133112672
한화테크윈,2003,29.2,1,0.43,-0.313407754
두산인프라코어,2003,7.56,1.02,0.34,-0.475763673
두산중공업,2003,28.64,0.36,0.22,0.313607489
롯데칠성,2003,6.69,1.1,0.72,0.139161734
오리온홀딩스,2003,30.28,0.81,0.17,-0.200950105
삼성전자,2004,7.15,2.13,1.01,-0.22730731
SK하이닉스,2004,3.01,1.08,0.71,-0.564352755
현대차,2004,9.6,1.09,0.26,-0.327933017
LG화학,2004,7.97,2.18,0.54,-0.013888587
POSCO,2004,4.34,0.85,0.61,-0.22578246
NAVER,2004,37.32,8.9,8.48,0.194671627
현대모비스,2004,8.17,2.05,0.64,-0.391479552
한국전력,2004,5.97,0.33,0.57,-0.064012859
신한지주,2004,8.99,1.06,0.57,-0.286566867
SK텔레콤,2004,10.87,1.75,1.51,-0.024584553
LG생활건강,2004,13.42,1.83,0.53,-0.032275028
KT&G,2004,11.65,1.3,1.65,-0.309285308
LG,2004,5.76,0.65,0.04,-0.429910378
LG전자,2004,6.3,1.93,0.23,-0.200508472
삼성SDI,2004,7.32,1.34,0.67,-0.276955521
기아차,2004,6.82,0.78,0.21,-0.170982483
S-Oil,2004,8.3,2.14,0.54,-0.581340384
삼성화재,2004,14.42,1.29,0.49,-0.142786077
아모레G,2004,11.87,1.42,1.1,-0.368501574
롯데케미칼,2004,2.9,0.92,0.63,-0.186970362
카카오,2004,,4.98,2.03,0.341972408
우리은행,2004,,,,0
LG디스플레이,2004,7.2,1.97,1.28,-1
엔씨소프트,2004,21.96,5.18,5.75,0.134296821
고려아연,2004,5.48,0.62,0.2,-0.07234499
기업은행,2004,7.94,0.85,0.43,-0.196040956
현대중공업,2004,49.48,0.57,0.19,-0.14270288
강원랜드,2004,10.61,2.63,3.7,7.363216826
삼성전기,2004,21.23,1.62,0.76,0.118957606
KT,2004,9.22,1.02,0.67,0.15374819
코웨이,2004,16.1,1.49,0.53,0.083102896
현대제철,2004,2.66,0.36,0.19,-0.426962428
한미사이언스,2004,9.27,1.11,0.54,-0.357767105
미래에셋대우,2004,,0.65,1.03,0.174002574
한온시스템,2004,9.6,1.88,0.73,0.565924984
CJ,2004,6.27,0.59,0.15,-0.219664942
GS,2004,8.77,1.12,0.22,-1
LG유플러스,2004,38.24,1.01,0.31,0.111975549
한화케미칼,2004,3.59,0.62,0.27,-0.299920082
삼성중공업,2004,,0.53,0.26,-0.08741321
DB손해보험,2004,5.12,0.78,0.12,-0.439274592
롯데지주,2004,11.9,0.68,0.71,-0.196154759
효성,2004,3.95,0.24,0.06,0.144303314
한국가스공사,2004,7.53,0.71,0.26,-0.134312321
KCC,2004,10.67,0.66,0.46,-0.069894666
NH투자증권,2004,30.97,0.66,1.34,0.411301692
현대건설,2004,23.97,1.39,0.24,-0.824317901
한샘,2004,31.47,1.26,0.32,0.455401588
에스원,2004,23.92,2.64,1.8,-0.236017936
현대해상,2004,6.13,0.76,0.09,0.424456842
한국금융지주,2004,7.68,0.43,0.87,-0.100317749
CJ대한통운,2004,10.59,0.22,0.14,-0.453496687
호텔신라,2004,17.85,0.51,0.54,-0.155220743
삼성증권,2004,55.39,0.88,1.34,0.232589771
대한항공,2004,2.85,0.35,0.18,-0.166767445
한화,2004,4.21,0.54,0.04,-0.601842375
OCI,2004,5.53,0.41,0.15,-0.250249066
대림산업,2004,5.09,0.81,0.32,-0.44163244
오뚜기,2004,5.59,0.45,0.11,-0.133545256
현대산업,2004,7.43,0.69,0.37,-0.321464588
신세계,2004,17.11,3.49,0.78,-0.315306717
유한양행,2004,13.14,1.06,1.59,-0.230918987
대우건설,2004,9.48,0.86,0.37,-0.233326364
두산,2004,,0.42,0.04,-0.121820102
제일기획,2004,16.09,2.02,1.26,-0.212382077
포스코대우,2004,5.89,1.08,0.14,-0.527043868
금호석유,2004,2.84,0.32,0.03,-0.702050114
농심,2004,10.99,1.71,0.79,-0.462436698
현대백화점,2004,10.23,0.89,0.35,-0.174893037
영풍,2004,2.99,0.17,0.11,-0.128076128
한화테크윈,2004,26.69,1.24,0.4,-0.149464012
두산인프라코어,2004,10.15,1.46,0.47,-0.399494728
두산중공업,2004,7.49,0.44,0.19,-0.315717227
롯데칠성,2004,10.71,1.15,0.85,-0.185859708
오리온홀딩스,2004,15.08,0.83,0.18,-0.12053211
삼성전자,2005,14.67,2,1.13,-0.101670137
SK하이닉스,2005,8.53,1.34,1.4,-0.422321237
현대차,2005,11.3,1.21,0.33,-0.265290089
LG화학,2005,14.73,1.82,0.41,0.0715966
POSCO,2005,4.39,0.86,0.67,-0.183394483
NAVER,2005,364.66,12.76,8.14,-0.256285637
현대모비스,2005,9.94,2.16,0.69,-0.264236872
한국전력,2005,10.06,0.48,0.79,-0.325789692
신한지주,2005,11.04,1.23,0.84,-0.346581308
SK텔레콤,2005,7.95,1.49,1.43,0.043790994
LG생활건강,2005,13.52,2.23,0.76,-0.317021706
KT&G,2005,14.27,1.68,2.44,-0.282861219
LG,2005,9.24,1.12,0.07,-0.424232875
LG전자,2005,23.81,1.88,0.26,-0.119955252
삼성SDI,2005,22.89,1.02,0.63,0.239312081
하나금융지주,2005,44.12,1.5,5.09,-1
기아차,2005,16.57,1.17,0.28,-0.355661882
S-Oil,2005,12.57,3.11,0.72,-0.344906314
삼성화재,2005,25.58,1.7,0.63,-0.19196284
아모레G,2005,13.49,1.55,1.43,-0.263701746
롯데케미칼,2005,3.11,0.75,0.29,-0.052090766
카카오,2005,,4.58,0.89,0.525254451
우리은행,2005,,,,0
LG디스플레이,2005,28.19,2.1,1.52,-0.226160094
엔씨소프트,2005,23.24,4.01,4.77,0.068931954
고려아연,2005,14.2,0.83,0.34,-0.317689425
기업은행,2005,9.14,1.05,0.67,-0.329948774
현대중공업,2005,31.83,1.09,0.31,-0.490844871
강원랜드,2005,14.7,2.66,4.02,-0.169827911
삼성전기,2005,,1.26,0.73,0.262561487
KT,2005,10.72,1,0.69,-0.029587806
코웨이,2005,21.73,3.63,0.95,-0.60175042
현대제철,2005,1.86,0.51,0.3,-0.374509277
한미사이언스,2005,18.25,1.92,1.07,-0.526105666
미래에셋대우,2005,7.43,1.37,1.29,-0.598158875
한온시스템,2005,14.19,1.74,0.72,3.054959786
CJ,2005,10.85,0.73,0.19,-0.159324192
GS,2005,5.87,0.99,0.1,-0.054703688
현대글로비스,2005,22.66,5.63,0.94,-1
LG유플러스,2005,7.48,1.08,0.38,-0.2536292
한화케미칼,2005,3.58,0.7,0.3,-0.262586294
삼성중공업,2005,53.45,1.25,0.44,-0.495237239
DB손해보험,2005,10.99,1.55,0.22,-0.518054207
롯데지주,2005,16.54,0.88,0.95,-0.276206752
효성,2005,,0.31,0.07,-0.158888264
한국가스공사,2005,10.53,0.71,0.22,-0.026561014
KCC,2005,11.71,0.93,0.72,-0.393050301
NH투자증권,2005,12.37,1.13,1.58,-0.325140728
현대건설,2005,14.47,2.32,0.66,-0.618489772
한샘,2005,68.44,1.09,0.36,0.150441108
에스원,2005,22.96,3.51,2.45,-0.328815062
현대해상,2005,24.77,1.65,0.19,2.060807997
한국금융지주,2005,4.08,0.97,1.18,-0.692518842
CJ대한통운,2005,13.78,0.52,0.36,-0.596161251
호텔신라,2005,24.64,0.69,0.74,-0.300318706
삼성증권,2005,15.82,1.43,1.69,-0.350759449
대한항공,2005,13.63,0.41,0.21,-0.179296313
한화,2005,25,1.39,0.08,-0.536893664
OCI,2005,18.53,0.57,0.25,-0.303011891
대림산업,2005,8.39,1,0.4,-0.295894487
오뚜기,2005,10.44,1.13,0.29,-0.65050353
현대산업,2005,11.3,1.22,0.77,-0.520281334
신세계,2005,25.08,3.63,1.07,-0.206943669
유한양행,2005,24.73,1.63,2.41,-0.38342477
대우건설,2005,12.26,1.36,0.64,-0.458139798
두산,2005,376.61,0.74,0.04,-0.352015427
제일기획,2005,19.35,2.16,1.17,-0.153611383
포스코대우,2005,21.72,1.93,0.28,-0.522153406
금호석유,2005,4.71,0.66,0.05,-0.528312023
농심,2005,13.51,1.88,0.99,-0.194226215
현대백화점,2005,12.35,1.34,0.58,-0.433852311
영풍,2005,7.83,0.36,0.16,-0.556207487
한화테크윈,2005,17.2,1.35,0.38,-0.170758551
두산인프라코어,2005,22.92,1.49,0.57,-0.128553652
두산중공업,2005,24.72,0.87,0.22,-0.510690697
롯데칠성,2005,16.29,1.35,1.17,-0.231868558
오리온홀딩스,2005,19.94,1.66,0.32,-0.516764516
삼성전자,2006,13.16,2.06,1.26,-0.158238792
SK하이닉스,2006,8.05,1.8,1.96,-0.442742611
현대차,2006,15.22,1.35,0.35,-0.149945818
LG화학,2006,13.89,1.65,0.38,0.023822014
POSCO,2006,8.13,0.91,0.83,-0.187275449
NAVER,2006,55.96,18.44,11.27,-0.324995059
현대모비스,2006,10.77,2.05,0.67,-0.108852443
한국전력,2006,12.22,0.57,0.91,-0.192167061
신한지주,2006,10.95,1.62,0.9,-0.292239753
SK텔레콤,2006,12.56,1.46,1.51,-0.083611464
LG생활건강,2006,40.75,3.5,1.23,-0.419632621
아모레퍼시픽,2006,61.54,3.43,3.48,-1
KT&G,2006,13.78,2.42,3.11,-0.290883145
LG,2006,11.97,1.26,0.08,-0.163911211
LG전자,2006,36.62,1.82,0.24,0.055559708
삼성SDI,2006,33.95,0.73,0.54,0.372907991
하나금융지주,2006,9.88,1.19,0.98,0.046853663
기아차,2006,,1.32,0.3,-0.053639847
S-Oil,2006,10.53,2.49,0.54,0.121754489
삼성화재,2006,24.09,2.27,0.76,-0.333067729
아모레G,2006,10.08,1.19,1.69,0.171921808
롯데케미칼,2006,5.8,0.73,0.32,-0.11734749
카카오,2006,49.75,6.9,1.29,-0.44381546
우리은행,2006,,,,0
LG디스플레이,2006,,1.88,1.22,0.245432686
엔씨소프트,2006,28.32,2.77,3.64,0.32633234
고려아연,2006,4.44,1.17,0.5,-0.573167379
기업은행,2006,6.62,1.29,0.81,-0.344053762
현대중공업,2006,12.95,1.62,0.46,-0.431285414
강원랜드,2006,17.43,2.8,4.55,-0.13883931
삼성전기,2006,34.34,1.58,0.9,-0.259004266
KT,2006,10.16,0.94,0.65,0.003648126
코웨이,2006,25.55,4.15,1.62,-0.294788473
현대제철,2006,6.08,0.77,0.44,-0.416865278
한미사이언스,2006,11.12,2.18,1.42,-0.298571915
미래에셋대우,2006,7.53,1.51,1.17,-0.400805702
한온시스템,2006,16.09,1.64,0.68,-0.036750099
롯데쇼핑,2006,13.33,1.29,0.93,-1
CJ,2006,12.57,1.1,0.27,-0.316541285
GS,2006,7.06,1.12,0.12,-0.191082803
현대글로비스,2006,15.7,3.36,0.66,0.430591946
LG유플러스,2006,11.3,1.89,0.71,-0.521009238
한화케미칼,2006,6.1,0.61,0.28,0.066343478
삼성중공업,2006,31.79,2.04,0.72,-0.467279429
DB손해보험,2006,15.59,2.37,0.28,-0.475917272
롯데지주,2006,6.65,1.08,1.46,-0.316504004
효성,2006,10.53,0.45,0.11,-0.317563864
한국가스공사,2006,13.1,0.74,0.21,-0.092712946
KCC,2006,15.8,0.97,0.88,-0.207079155
NH투자증권,2006,13.6,1.38,1.09,-0.387807601
현대건설,2006,15.84,3.02,0.99,-0.439525145
한샘,2006,16.55,1.1,0.38,-0.087558254
에스원,2006,20.03,2.92,2.11,0.077176317
현대해상,2006,27.55,2.22,0.21,-0.42491018
한국금융지주,2006,12.82,1.31,1.58,-0.433787308
CJ대한통운,2006,,1.49,0.65,-0.314578275
호텔신라,2006,34.01,1.2,1.28,-0.430982772
삼성증권,2006,16.67,1.74,2.54,-0.359163963
대한항공,2006,7.88,0.61,0.32,-0.387786723
한화,2006,9.39,1.66,0.12,-0.338547291
OCI,2006,14.29,0.94,0.32,-0.39196749
대림산업,2006,12.02,1.06,0.45,-0.132108867
오뚜기,2006,11.21,1.35,0.39,-0.240844866
현대산업,2006,14.83,1.81,1.23,-0.406406008
신세계,2006,30.34,4.16,1.2,-0.261919558
유한양행,2006,24.3,2.05,3.23,-0.24446105
대우건설,2006,16.75,2.12,1.03,-0.448450387
두산,2006,145.97,1.56,0.08,-0.553680002
제일기획,2006,15.41,2.11,1.25,-0.08334811
포스코대우,2006,33.21,3.92,0.51,-0.546088555
금호석유,2006,13.66,1.01,0.16,-0.315535944
농심,2006,15.26,1.58,1.01,0.065831337
현대백화점,2006,10.95,1.63,0.78,-0.309425683
영풍,2006,4.45,0.53,0.24,-0.443579841
한화테크윈,2006,17.7,2.91,0.82,-0.61015215
두산인프라코어,2006,26.67,2.26,0.77,-0.381724566
두산중공업,2006,66.91,1.69,0.33,-0.485840912
롯데칠성,2006,26.34,1.05,1.42,-0.179858962
오리온홀딩스,2006,7.34,1.69,0.52,-0.352838386
삼성전자,2007,12.75,1.61,1,0.105169967
SK하이닉스,2007,34.41,1.59,1.67,0.06635192
현대차,2007,12.74,1.05,0.28,0.144435151
LG화학,2007,13.85,2.3,0.7,-0.443465336
POSCO,2007,14.09,1.54,1.33,-0.485741156
NAVER,2007,62,19.51,13.32,0.129621878
현대모비스,2007,9.77,1.74,0.65,-0.024995358
한국전력,2007,17.83,0.58,0.9,-0.047880556
신한지주,2007,10.48,1.47,0.97,-0.213736731
SK텔레콤,2007,12.26,1.28,1.45,-0.041588624
LG생활건강,2007,42.98,5.55,1.47,-0.458597828
아모레퍼시픽,2007,23.76,4.01,2.63,-0.284283266
SK이노베이션,2007,50.23,2.44,0.73,-1
KT&G,2007,17.49,2.72,3.22,-0.178783878
LG,2007,13.33,1.71,0.12,-0.391746795
LG전자,2007,13.28,1.68,0.23,-0.101070905
삼성SDI,2007,,0.6,0.57,0.226147275
하나금융지주,2007,8.23,1.07,0.74,-0.050421954
기아차,2007,,0.96,0.21,0.426347603
S-Oil,2007,12.34,2.17,0.57,-0.080164092
삼성화재,2007,21.81,2.84,0.91,-0.283190187
아모레G,2007,23.3,1.07,0.85,0.406718728
롯데케미칼,2007,7.26,1.17,0.54,-0.471963816
카카오,2007,63.65,7.85,4.14,-0.319972895
우리은행,2007,,,,0
LG디스플레이,2007,13.18,1.72,0.99,-0.091454687
엔씨소프트,2007,22.2,2.71,4.07,-0.079538703
고려아연,2007,5.84,1.62,0.79,-0.436230546
기업은행,2007,6.11,1.26,0.71,-0.099913588
현대중공업,2007,18.5,3.63,1.08,-0.661737179
강원랜드,2007,17.98,2.83,4.26,-0.129683675
삼성전기,2007,33.79,1.78,1.01,-0.192790515
KT,2007,12.9,0.97,0.67,-0.079064663
코웨이,2007,19.55,4.11,1.78,-0.161439589
현대제철,2007,12.97,1.2,0.59,-0.44232249
한미사이언스,2007,18.87,2.31,1.5,-0.171066999
미래에셋대우,2007,12.9,2.1,1.39,-0.334419602
한온시스템,2007,9.13,1.43,0.54,0.010640434
롯데쇼핑,2007,15.89,1.21,0.9,-0.023141885
CJ,2007,54.17,1.03,0.26,0.081157886
GS,2007,14.75,1.55,0.16,-0.349087894
CJ제일제당,2007,212.96,5.29,2.6,-1
현대글로비스,2007,29.16,3.36,0.6,-0.156597297
LG유플러스,2007,9.99,1.57,0.61,0.008616371
한화케미칼,2007,8.93,0.96,0.44,-0.423864694
삼성중공업,2007,18.24,3.47,0.98,-0.449318535
DB손해보험,2007,9.92,3.17,0.4,-0.381690745
롯데지주,2007,21.2,1.13,1.58,-0.123398662
효성,2007,12.34,1.11,0.24,-0.63216583
삼성카드,2007,10.1,1.88,2.73,-1
한국가스공사,2007,13.77,1,0.27,-0.314973504
KCC,2007,28.11,0.98,1.47,-0.442512275
NH투자증권,2007,9.49,1.52,1.07,-0.151825779
현대건설,2007,33.63,3.36,1.26,-0.287250072
한샘,2007,10.12,1.05,0.34,-0.015022952
에스원,2007,20.61,3.01,2.28,-0.148979854
현대해상,2007,10.9,2.48,0.27,-0.24865027
한국금융지주,2007,9.02,1.71,1.5,-0.358842704
CJ대한통운,2007,16.48,1.74,0.81,-0.232481593
호텔신라,2007,52.62,1.65,1.65,-0.297584636
삼성증권,2007,13.62,2.17,2.67,-0.265670236
대한항공,2007,474.21,1.02,0.49,-0.404910416
한화,2007,23.2,2.98,0.18,-0.47568861
OCI,2007,36.91,2.8,1.11,-0.743022215
대림산업,2007,15.16,1.72,0.75,-0.474261481
오뚜기,2007,10.48,1.34,0.41,-0.120285935
현대산업,2007,20.19,2.37,1.66,-0.351599874
신세계,2007,35.91,4.62,1.48,-0.227788953
유한양행,2007,21.73,2.14,3.36,-0.111445937
대우건설,2007,8.52,2.69,1.44,-0.335657949
두산,2007,67.96,5.02,0.27,-0.735479228
제일기획,2007,21.75,2.44,1.69,-0.200415884
포스코대우,2007,37.21,3.9,0.47,-0.080094492
금호석유,2007,13.08,1.74,0.28,-0.497440541
농심,2007,11.44,1.3,0.92,0.120109367
현대백화점,2007,14.7,1.71,0.92,-0.166063522
영풍,2007,5.51,0.99,0.49,-0.545522386
한화테크윈,2007,17.33,3.77,1.13,-0.358819173
두산인프라코어,2007,25.98,3.82,1.18,-0.437198148
한전KPS,2007,11.4,2,1.1,-1
두산중공업,2007,42.41,3.79,0.73,-0.610103118
롯데칠성,2007,21.94,1.17,1.51,-0.089427061
오리온홀딩스,2007,11.02,1.65,0.55,-0.07797938
삼성전자,2008,13.89,1.46,0.8,0.005930679
